Location,Cruise ID,Point Used,Lat,Lon,RGI_ID
Sydkap,n/a,n/a,76.658582,-85.223261,RGI60-03.01897 
Harbour,A2108,JS39,76.65457,-84.30954,RGI60-03.01919
Grise,n/a,n/a,76.666677,-83.413121,RGI60-03.01984
Grise - full,n/a,n/a,76.764254,-83.433886,RGI60-03.01984
Fram,n/a ,n/a,76.550603,-81.231184,RGI60-03.01538
Jakeman,n/a,n/a,76.447371,-80.887761,RGI60-03.01555
Sverdrup,n/a,n/a,75.73847,-83.19789,RGI60-03.02435
Belcher,n/a ,n/a,75.65861,-81.33183,RGI60-03.02442
Talbot -True,n/a ,n/a,77.96976,-78.52234,RGI60-03.01710
Talbot,n/a,estimate,77.9552,-78.3353,RGI60-03.01710
TRUE,V2007,TL1,75.70323,-84.48275,na
Jones Sound,n/a,n/a,76.416,-82.91,na
Starnes 1,na,na,76.5254454,-82.2561454,RGI60-03.00704
Starnes 2,na,na,76.623514,-82.4129797,RGI60-03.00704
Starnes Fiord,na,na,76.824572,-82.755559,n/a
